link,name,location,price,area,bhk,bathroom,area_type_x,id,property_name_address
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dosti-mezzo-22-sion-east-central-mumbai-suburbs-938-sq-ft-spid-L84777526,Dosti Mezzo 22,"3 BHK Flat in Sion East, Mumbai",₹4.45 Cr,938 sqft,3 BHK,(3 Baths),Carpet Area,32,Dosti Mezzo 22 Sion East
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dosti-mezzo-22-sion-east-central-mumbai-suburbs-938-sq-ft-spid-L84777526,Dosti Mezzo 22,"3 BHK Flat in Sion East, Mumbai",₹4.45 Cr,938 sqft,3 BHK,(3 Baths),Carpet Area,42,"Carpet area: 938
(87.14 sq.m.)  
sq.ft."
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-dosti-mezzo-22-sion-east-central-mumbai-suburbs-1332-sq-ft-spid-H84765120,Dosti Mezzo 22,"2 BHK Flat in Sion East, Mumbai",₹3.34 Cr,"1,332 sqft",2 BHK,(2 Baths),Super Built-up Area,43,"Super Built up area 1332
(123.75 sq.m.)
Built Up area: 1232 sq.ft. (114.46 sq.m.)
Carpet area: 747 sq.ft. (69.4 sq.m.)  
sq.ft."
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shikara-heights-sion-east-central-mumbai-suburbs-592-sq-ft-spid-I85652296,Shikara Heights,"2 BHK Flat in Sion East, Mumbai",₹2.25 Cr,592 sqft,2 BHK,(2 Baths),Super Built-up Area,44,"Super Built up area 592
(55 sq.m.)
Built Up area: 591 sq.ft. (54.91 sq.m.)
Carpet area: 590 sq.ft. (54.81 sq.m.)  
sq.ft."
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shikara-heights-sion-east-central-mumbai-suburbs-535-sq-ft-spid-R85652176,Shikara Heights,"2 BHK Flat in Sion East, Mumbai",₹2 Cr,535 sqft,2 BHK,(2 Baths),Super Built-up Area,45,"Super Built up area 535
(49.7 sq.m.)
Built Up area: 534 sq.ft. (49.61 sq.m.)
Carpet area: 533 sq.ft. (49.52 sq.m.)  
sq.ft."
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-dosti-mezzo-22-sion-east-central-mumbai-suburbs-602-sq-ft-spid-O84777442,Dosti Mezzo 22,"2 BHK Flat in Sion East, Mumbai",₹2.68 Cr,602 sqft,2 BHK,(2 Baths),Carpet Area,46,"Carpet area: 602
(55.93 sq.m.)  
sq.ft."
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-dosti-mezzo-22-sion-east-central-mumbai-suburbs-1093-sq-ft-spid-F84765044,Dosti Mezzo 22,"2 BHK Flat in Sion East, Mumbai",₹2.68 Cr,"1,093 sqft",2 BHK,(2 Baths),Super Built-up Area,47,"Super Built up area 1093
(101.54 sq.m.)
Built Up area: 993 sq.ft. (92.25 sq.m.)
Carpet area: 602 sq.ft. (55.93 sq.m.)  
sq.ft."
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sion-central-mumbai-suburbs-750-sq-ft-spid-F85357118,Ruparel Zion,"2 BHK Flat in Sion, Mumbai",₹3.15 Cr,750 sqft,2 BHK,(2 Baths),Built-up Area,48,"Built Up area: 750
(69.68 sq.m.)  
sq.ft."
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ruparel-zion-sion-east-central-mumbai-suburbs-750-sq-ft-spid-F85288046,Ruparel Zion,"2 BHK Flat in Sion East, Mumbai",₹3.15 Cr,750 sqft,2 BHK,(2 Baths),Carpet Area,49,"Carpet area: 750
(69.68 sq.m.)  
sq.ft."
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sion-central-mumbai-suburbs-1700-sq-ft-spid-R83571806,KAlpataru Residency,"3 BHK Flat in Sion, Mumbai",₹7.25 Cr,"1,700 sqft",3 BHK,(4 Baths),Super Built-up Area,50,"Super Built up area 1700
(157.94 sq.m.)
Carpet area: 1260 sq.ft. (117.06 sq.m.)  
sq.ft."
https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-sion-east-central-mumbai-suburbs-555-sq-ft-spid-M86094322,the shreeji palazzo,"1 BHK Flat in Sion East, Mumbai",₹2.2 Cr,555 sqft,1 BHK,(2 Baths),Carpet Area,51,"Carpet area: 555
(51.56 sq.m.)  
sq.ft."
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-sion-central-mumbai-suburbs-1727-sq-ft-r9-spid-C67654358,Lodha Divino,"4 BHK Flat in Sion, Mumbai",₹8.11 Cr,"1,727 sqft",4 BHK,(4 Baths),Carpet Area,52,"Carpet area: 1727
(160.44 sq.m.)  
sq.ft."
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sion-central-mumbai-suburbs-1227-sq-ft-r9-spid-V67651536,Lodha Divino,"3 BHK Flat in Sion, Mumbai",₹5.5 Cr,"1,227 sqft",3 BHK,(3 Baths),Carpet Area,53,"Carpet area: 1227
(113.99 sq.m.)  
sq.ft."
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sion-central-mumbai-suburbs-1331-sq-ft-r9-spid-S67651786,Lodha Divino,"3 BHK Flat in Sion, Mumbai",₹5.99 Cr,"1,331 sqft",3 BHK,(3 Baths),Carpet Area,54,"Carpet area: 1331
(123.65 sq.m.)  
sq.ft."
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sion-central-mumbai-suburbs-820-sq-ft-r9-spid-S67651276,Lodha Divino,"2 BHK Flat in Sion, Mumbai",₹3.65 Cr,820 sqft,2 BHK,(2 Baths),Carpet Area,55,"Carpet area: 820
(76.18 sq.m.)  
sq.ft."
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sion-east-central-mumbai-suburbs-1252-sq-ft-spid-U86095740,the shreeji palazzo,"3 BHK Flat in Sion East, Mumbai",₹5 Cr,"1,252 sqft",3 BHK,(3 Baths),Carpet Area,56,"Carpet area: 1252
(116.31 sq.m.)  
sq.ft."
https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-sion-central-mumbai-suburbs-555-sq-ft-spid-W86094782,the shreeji palazzo,"1 BHK Flat in Sion, Mumbai",₹2.21 Cr,555 sqft,1 BHK,(2 Baths),Carpet Area,57,"Carpet area: 555
(51.56 sq.m.)  
sq.ft."
